1.1.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.2.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.3.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.4.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.5.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.6.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.7.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.8.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.9.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.10.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.11.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.12.2009	43,01	40,91	39,58	33,00	25,01	0	0	31,94	31,94	31,94	EEG 2009
1.1.2010	39,14	37,23	35,23	29,37	22,76	0	0	28,43	28,43	28,43	EEG 2009
1.2.2010	39,14	37,23	35,23	29,37	22,76	0	0	28,43	28,43	28,43	EEG 2009
1.3.2010	39,14	37,23	35,23	29,37	22,76	0	0	28,43	28,43	28,43	EEG 2009
1.4.2010	39,14	37,23	35,23	29,37	22,76	0	0	28,43	28,43	28,43	EEG 2009
1.5.2010	39,14	37,23	35,23	29,37	22,76	0	0	28,43	28,43	28,43	EEG 2009
1.6.2010	39,14	37,23	35,23	29,37	22,76	0	0	28,43	28,43	28,43	EEG 2009
1.7.2010	34,05	32,39	30,65	25,55	17,67 (22,05)	16,01 (20,39)	14,27 (18,65)	26,15 **)	25,02 **)	0 *) **)	EEG-Novelle 2010
1.8.2010	34,05	32,39	30,65	25,55	17,67 (22,05)	16,01 (20,39)	14,27 (18,65)	26,15 **)	25,02 **)	0 *) **)	EEG-Novelle 2010
1.9.2010	34,05	32,39	30,65	25,55	17,67 (22,05)	16,01 (20,39)	14,27 (18,65)	26,15 **)	25,02 **)	0 *) **)	EEG-Novelle 2010
1.10.2010	33,03	31,42	29,73	24,79	16,65 (21,03)	15,04 (19,42)	13,35 (17,73)	25,37 **)	24,26 **)	0 *) **)	EEG-Novelle 2010
1.11.2010	33,03	31,42	29,73	24,79	16,65 (21,03)	15,04 (19,42)	13,35 (17,73)	25,37 **)	24,26 **)	0 *) **)	EEG-Novelle 2010
1.12.2010	33,03	31,42	29,73	24,79	16,65 (21,03)	15,04 (19,42)	13,35 (17,73)	25,37 **)	24,26 **)	0 *) **)	EEG-Novelle 2010
1.1.2011	28,74	27,33	25,86	21,56	12,36 (16,74)	10,95 (15,33)	9,48 (13,86)	22,07	21,11	0 *) **)	EEG-Novelle 2010
1.1.2012 ****)	24,43	23,23	21,98	18,33	8,05 (12,43)	6,85 (11,23)	5,6 (9,98)	18,76	17,94	0 *) **)	PV-Novelle 2012 ***) ****)
1.2.2012 ****)	24,43	23,23	21,98	18,33	8,05 (12,43)	6,85 (11,23)	5,6 (9,98)	18,76	17,94	0 *) **)	PV-Novelle 2012 ***) ****)
1.3.2012 ****)	24,43	23,23	21,98	18,33	8,05 (12,43)	6,85 (11,23)	5,6 (9,98)	18,76	17,94	0 *) **)	PV-Novelle 2012 ***) ****)
1.4.2012	19,50	18,50	16,50	13,50	13,50	13,50	EEG, PV-Novelle 2012
1.5.2012 (3)	19,31	18,32	16,34	13,37	13,37	13,37	EEG, PV-Novelle 2012
1.6.2012	19,11	18,13	16,17	13,23	13,23	13,23	EEG, PV-Novelle 2012
1.7.2012	18,92	17,95	16,01	13,10	13,10	13,10	EEG, PV-Novelle 2012
1.8.2012	18,73	17,77	15,85	12,97	12,97	12,97	EEG, PV-Novelle 2012
1.9.2012	18,54	17,59	15,69	12,84	12,84	12,84	EEG, PV-Novelle 2012
1.10.2012	18,36	17,42	15,53	12,71	12,71	12,71	EEG, PV-Novelle 2012
1.11.2012 (3)	17,90	16,98	15,15	12,39	12,39	12,39	EEG, PV-Novelle 2012
1.12.2012 (3)	17,45	16,56	14,77	12,08	12,08	12,08	EEG, PV-Novelle 2012
1.1.2013 (3)	17,02	16,14	14,40	11,78	11,78	11,78	EEG, PV-Novelle 2012
1.2.2013 (3)	16,64	15,79	14,08	11,52	11,52	11,52	EEG, PV-Novelle 2012
1.3.2013 (3)	16,28	15,44	13,77	11,27	11,27	11,27	EEG, PV-Novelle 2012
1.4.2013 (3)	15,92	15,10	13,47	11,02	11,02	11,02	EEG, PV-Novelle 2012
1.5.2013 (3)	15,63	14,83	13,23	10,82	10,82	10,82	EEG, PV-Novelle 2012
1.6.2013 (3)	15,35	14,56	12,99	10,63	10,63	10,63	EEG, PV-Novelle 2012
1.7.2013 (3)	15,07	14,30	12,75	10,44	10,44	10,44	EEG, PV-Novelle 2012
1.8.2013 (3)	14,80	14,04	12,52	10,25	10,25	10,25	EEG, PV-Novelle 2012
1.9.2013 (3)	14,54	13,79	12,30	10,06	10,06	10,06	EEG, PV-Novelle 2012
1.10.2013 (3)	14,27	13,54	12,08	9,88	9,88	9,88	EEG, PV-Novelle 2012
1.11.2013 (3)	14,07	13,35	11,91	9,74	9,74	9,74	EEG, PV-Novelle 2012
1.12.2013 (3)	13,88	13,17	11,74	9,61	9,61	9,61	EEG, PV-Novelle 2012
1.1.2014 (3)	13,68	12,98	11,58	9,47	9,47	9,47	EEG, PV-Novelle 2012
1.2.2014 (3)	13,55	12,85	11,46	9,38	9,38	9,38	EEG, PV-Novelle 2012
1.3.2014 (3)	13,41	12,72	11,35	9,28	9,28	9,28	EEG, PV-Novelle 2012
1.4.2014 (3)	13,28	12,60	11,23	9,19	9,19	9,19	EEG, PV-Novelle 2012
1.5.2014 (3)	13,14	12,47	11,12	9,10	9,10	9,10	EEG, PV-Novelle 2012
1.6.2014 (3)	13,01	12,34	11,01	9,01	9,01	9,01	EEG, PV-Novelle 2012
1.7.2014 (3)	12,88	12,22	10,90	8,92	8,92	8,92	EEG, PV-Novelle 2012
1.8.2014	12,75	12,40	11,09	8,83	8,83	EEG 2014
1.9.2014 (3)	12,69	12,34	11,03	8,79	8,79	EEG 2014
1.10.2014 (4)	12,65	12,31	11,01	8,76	8,76	EEG 2014
1.11.2014 (4)	12,62	12,28	10,98	8,74	8,74	EEG 2014
1.12.2014 (4)	12,59	12,25	10,95	8,72	8,72	EEG 2014
1.1.2015 (5)	12,56	12,22	10,92	8,70	8,70	EEG 2014
1.2.2015 (5)	12,53	12,18	10,90	8,68	8,68	EEG 2014
1.3.2015 (5)	12,50	12,15	10,87	8,65	8,65	EEG 2014
1.4.2015 (6)	12,47	12,12	10,84	8,63	8,63	EEG 2014
1.5.2015 (6)	12,43	12,09	10,82	8,61	8,61	EEG 2014
1.6.2015 (6)	12,40	12,06	10,79	8,59	8,59	EEG 2014
1.7.2015 (7)	12,37	12,03	10,76	8,57	8,57	EEG 2014
1.8.2015 (7)	12,34	12,00	10,73	8,55	8,55	EEG 2014
1.9.2015 (7)	12,31	11,97	10,71	8,53	0	EEG 2014
1.10.2015 (8)	12,31	11,97	10,71	8,53	0	EEG 2014
1.11.2015 (8)	12,31	11,97	10,71	8,53	0	EEG 2014
1.12.2015 (8)	12,31	11,97	10,71	8,53	0	EEG 2014
1.12.2015 (8)	12,31	11,97	10,71	8,53	0	EEG 2014
1.1.2016 (10)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.2.2016 (10)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.3.2016 (10)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.4.2016 (11)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.5.2016 (11)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.6.2016 (11)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.7.2016 (12)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.8.2016 (12)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.9.2016 (12)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.10.2016 (13)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.11.2016 (13)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.12.2016 (13)	12,31	11,97	10,71	8,53 (9)	0	EEG 2014
1.1.2017 (1)(2)	12,30	11,96	10,69	8,51	8,51	EEG 2017
1.2.2017 (1)(2)	12,30	11,96	10,69	8,51	8,51	EEG 2017
1.3.2017 (1)(2)	12,30	11,96	10,69	8,51	8,51	EEG 2017
1.4.2017 (1)(2)	12,30	11,96	10,69	8,51	8,51	EEG 2017
1.5.2017 (1)(2)	12,27	11,93	10,66	8,49	8,49	EEG 2017
1.6.2017 (1)(2)	12,24	11,90	10,63	8,47	8,47	EEG 2017
1.7.2017 (1)(2)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.8.2017 (1)(2)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.9.2017 (1)(2)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.10.2017 (1)(2)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.11.2017 (1)(2)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.12.2017 (1)(2)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.1.2018 (1)(2)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.2.2018 (1)(2,3)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.3.2018 (1)(2,3)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.4.2018 (1)(2,3)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.5.2018 (1)(2,3)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.6.2018 (1)(2,3)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.7.2018 (1)(2,3)	12,20	11,87	10,61	8,44	8,44	EEG 2017
1.8.2018 (1)(2,3)	12,08	11,74	10,50	8,35	8,35	EEG 2017
1.9.2018 (1)(2,3)	11,95	11,62	10,39	8,27	8,27	EEG 2017
1.10.2018 (1)(2,3)	11,83	11,50	10,28	8,18	8,18	EEG 2017
1.11.2018 (1)(2,3)	11,71	11,38	10,17	8,09	8,09	EEG 2017
1.12.2018 (1)(2,3)	11,59	11,27	10,07	8,01	8,01	EEG 2017
1.1.2019 (1)(2,3)	11,47	11,15	9,96	7,93	7,93	EEG 2017
1.2.2019 (1)(2,3)	11,35	11,03	9,47	7,84	7,84	EEG 2017
1.3.2019 (1)(2,3)	11,23	10,92	8,99	7,76	7,76	EEG 2017
1.4.2019 (1)(2,3)	11,11	10,81	8,50	7,68	7,68	EEG 2017
1.5.2019 (1)(2,3)	10,95	10,65	8,38	7,57	7,57	EEG 2017
1.6.2019 (1)(2,3)	10,79	10,50	8,25	7,45	7,45	EEG 2017
1.7.2019 (1)(2,3)	10,64	10,34	8,13	7,34	7,34	EEG 2017
1.8.2019 (1)(2,3)	10,48	10,19	8,01	7,24	7,24	EEG 2017
1.9.2019 (1)(2,3)	10,33	10,04	7,89	7,13	7,13	EEG 2017
1.10.2019 (1)(2,3)	10,18	9,90	7,78	7,02	7,02	EEG 2017
1.11.2019 (1)(2,3)	10,08	9,79	7,70	6,95	6,95	EEG 2017
1.12.2019 (1)(2,3)	9,97	9,69	7,62	6,88	6,88	EEG 2017
1.1.2020 (1)(2,3)	9,87	9,59	7,54	6,80	6,80	EEG 2017
1.2.2020 (1)(2,3)	9,72	9,45	7,42	6,70	6,70	EEG 2017
1.3.2020 (1)(2,3)	9,58	9,31	7,31	6,60	6,60	EEG 2017
1.4.2020 (1)(2,3)	9,44	9,18	7,21	6,50	6,50	EEG 2017
1.5.2020 (1)(2,3)	9,30	9,04	7,10	6,41	6,41	EEG 2017
1.6.2020 (1)(2,3)	9,17	8,91	7,00	6,31	6,31	EEG 2017
1.7.2020 (1)(2,3)	9,03	8,78	6,89	6,22	6,22	EEG 2017
1.8.2020 (1)(2,3)	8,90	8,65	6,79	6,13	6,13	EEG 2017
1.9.2020 (1)(2,3)	8,77	8,53	6,69	6,03	6,03	EEG 2017
1.10.2020 (1)(2,3)	8,64	8,40	6,59	5,94	5,94	EEG 2017
